pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,826.7743
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,838.51056
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,840.8135
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,840.8135
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,831.35046
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,822.72144
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,820.471
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,825.3525
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,835.7968
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,838.09973
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,838.09973
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,831.48334
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,822.72144
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,820.471
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,825.3525
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,835.7968
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,835.71564
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,835.71564
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,829.09924
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,821.25433
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,819.0039
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,822.6726
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,830.73285
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,827.2024
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,827.2024
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,824.82367
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,819.6586
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,817.4082
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,820.4129
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,824.8995
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,827.2024
